prevword,nextword,prevtag,nexttag,class
в,на,prep,prep,1
в,неамериканец,prep,noun,1
в,если,prep,conj,2
как,операция,conj,noun,1
в,вступить,prep,verb,1
морской,и,adj,conj,1
кулачный,с,adj,prep,2
в,быть,prep,verb,2
в,с,prep,prep,2
потешный,два,adj,num,2
нешуточный,стреляя,adj,verb,1
в,вместо,prep,prep,2
в,тренер,prep,noun,2
разведка,NA,noun,NA,1
закончить,NA,verb,NA,2
решающий,NA,adj,NA,1
в,на,prep,prep,1
вечный,покой,adj,noun,2
в,за,prep,prep,1
в,он,prep,pron,1
в,за,prep,prep,1
словом,бой,adv,noun,1
в,а,prep,conj,1
молчать,NA,verb,NA,9
в,водить,prep,verb,1
давать,именно,verb,adv,1
марка,NA,noun,NA,9
в,вместо,prep,adv,1
в,NA,prep,NA,1
барабанный,NA,adj,NA,8
в,как,prep,adv,1
в,на,prep,prep,1
последний,NA,adj,NA,1
в,с,prep,prep,1
в,дракон,prep,noun,1
рукопашный происходит,NA,adj,verb,2
в,чей-то,prep,adj,1
в,в,prep,prep,1
правила,не,noun,neg,2
принимать,NA,verb,NA,2
негритенок,с,noun,prep,9
в,NA,prep,NA,1
в,просто,prep,adv,2
в,но,prep,conj,1
выдержать,на,verb,prep,2
морской,чуть,adj,adv,1
в,NA,prep,NA,1
лаки,NA,NA,NA,9
NA,куранты,NA,noun,8
в,NA,prep,NA,2
продолжаться,NA,verb,NA,1
это,с,neg,prep,1
уханье,посуда,noun,noun,6
а,по,conj,prep,2
сквозь,зыбь,adv,noun,8
первый,Костромин,adj,name,1
сегодня,отступление,noun,noun,1
идет,покуда,verb,adv,1
же,он,neg,pron,1
легкий,а,adj,conj,1
в,NA,prep,NA,1
этот,с,pron,prep,1
братоубийственный,против,adj,prep,1
NA,близиться,NA,verb,1
в,по,prep,prep,1
на,NA,prep,NA,2
какой,с,adj,prep,1
в,черный,prep,adj,1
NA,NA,NA,NA,6
минута,часы,noun,noun,8
в,Катя,prep,name,2
в,магфиозный,prep,adj,1
в,NA,prep,NA,2
торжественный,куранты,adj,noun,8
в,и,prep,conj,2
петушиный,и,adj,conj,2
в,чтобы,prep,conj,2
слушать,угадывая,verb,participle,1
морской,NA,adj,NA,1
в,оставить,prep,verb,1
идти,NA,verb,NA,1
в,увлекающий,prep,participle,1
в,свой,prep,adj,1
они,чем-то,pron,adv,2
в,NA,prep,NA,1
жестокий,где,adj,adv,1
повести,против,verb,prep,1
прощание,продолжаться,noun,verb,
на,уходит,prep,verb,1
в,сам,prep,pron,1
в,NA,prep,NA,2
в,солдат,prep,noun,1
учебный,NA,adj,NA,2
NA,в,NA,prep,1
смертельный,NA,adj,NA,1
в,в,prep,prep,1
NA,с,NA,prep,1
в,друг,prep,noun,1
вести,NA,verb,NA,1
NA,NA,NA,NA,
этот,быть,pron,verb,1
в,NA,prep,NA,1
тот,NA,pron,NA,1
гейм,NA,NA,NA,9
свой,френд,adj,NA,9
в,не,prep,neg,1
рукопашный,акробатика,adj,noun,2
решительный,с,adj,prep,1
учебный,закончиться,adj,verb,1
в,с,prep,prep,1
вести,с,verb,prep,1
решительный,разоблачая,adj,participle,1
в,NA,prep,NA,1
идти,NA,verb,NA,1
в,пойти,prep,verb,1
выиграть,NA,verb,NA,1
кулачный,во,adj,prep,2
в,травмированный,prep,adj,1
последний,Форлан,adj,name,2
в,вступить,prep,verb,1
в,изголодавшийся,prep,adj,2
спайс,неоднократно,noun,adv,9
ноябрь,у,noun,prep,2
ведший,очень,participle,adv,2
скидка,европейский,noun,adj,2
в,против,prep,prep,2
тяжелый,со,adj,prep,2
в,идти,prep,verb,1
в,NA,prep,NA,2
важный,с,adj,prep,2
в,молодежь,prep,noun,2
Он,с,pron,prep,2
на,с,prep,prep,2
в,из,prep,prep,2
Таким образом,за,adv,prep,2
NA,продолжаться,NA,verb,2
на,Шандыбин,prep,name,2
в,NA,prep,NA,1
пропагандистский,как,adj,adv,1
NA,с,NA,prep,1
новый,начать,adj,verb,2
в,то,prep,conj,1
же,Джордж,neg,name,10
в,свой,prep,adj,2
би,и,NA,conj,9
в,танк,prep,noun,1
становиться,Льюс,verb,name,2
в,как,prep,adv,1
с,френд,prep,NA,9
в,рваться,prep,verb,1
смертный,с,adj,prep,1
ее,френд,pron,NA,9
пьянство,объявлять,noun,verb,2
секси,Робби,NA,name,9
в,со,prep,prep,1
NA,NA,NA,NA,1
они,Джордж,pron,name,10
вечный,покой,adj,noun,1
принять,NA,verb,NA,1
именно,NA,neg,NA,1
спайс,мы,NA,pron,9
первый,переправа,adj,noun,1
под,куранты,prep,noun,8
в,NA,prep,NA,1
в,идти,prep,verb,1
грянуть,Полтавская,verb,name,1
в,и,prep,conj,1
в,с,prep,prep,1
в,тот,prep,pron,1
в,NA,prep,NA,1
NA,запретить,NA,verb,2
на,выйти,prep,verb,1
свой,против,adj,prep,2
дать,со,verb,prep,1
смертный,стать,adj,verb,1
в,за,prep,prep,1
в,NA,prep,NA,1
NA,Нереида,NA,name,2
в,NA,prep,NA,1
в,а,prep,conj,1
решительный,NA,adj,NA,1
сын,в,noun,prep,10
и,барабан,conj,noun,8
решительный,американский,adj,adj,1
в,молодой,prep,adj,1
под,куранты,prep,noun,8
первый,отражая,adj,participle,1
штыковой,я,adj,pron,1
в,помнить,prep,verb,1
барабанный,NA,adj,NA,8
в,комсомолец,prep,noun,1
слушать,часы,verb,noun,8
допустим,стекло,neg,noun,6
послышаться,часы,verb,noun,8
морской,старинный,adj,adj,1
ответный,NA,adj,NA,1
за,посуда,prep,noun,6
в,за,prep,prep,1
смертный,NA,adj,NA,1
