prevword,nextword,prevtag,nexttag,class,one,two,three,four,five,six,seven,eight,nine,ten

в,на,prep,prep,1,0,0,0,0,0,0,0,0,0,0

в,неамериканец,prep,noun,1,0,0,0,0,0,0,0,0,0,0

в,если,prep,conj,2,0,0,0,0,0,0,0,0,0,0

как,операция,conj,noun,1,0,0,0,0,0,0,0,0,0,0

в,вступить,prep,verb,1,0,0,0,0,0,0,0,0,0,0

морской,и,adj,conj,1,1,0,0,0,0,0,0,0,0,0

кулачный,с,adj,prep,2,0,1,0,0,0,0,0,0,0,0

в,быть,prep,verb,2,0,0,0,0,0,0,0,0,0,0

в,с,prep,prep,2,0,0,0,0,0,0,0,0,0,0

потешный,два,adj,num,2,0,0,0,0,0,0,0,0,0,0

нешуточный,стреляя,adj,verb,1,0,0,0,0,0,0,0,0,0,0

в,вместо,prep,prep,2,0,0,0,0,0,0,0,0,0,0

в,тренер,prep,noun,2,0,0,0,0,0,0,0,0,0,0

разведка,NA,noun,NA,1,0,0,0,0,0,0,0,0,0,0

закончить,NA,verb,NA,2,0,0,0,0,0,0,0,0,0,0

решающий,NA,adj,NA,1,0,0,0,0,0,0,0,0,0,0

в,на,prep,prep,1,0,0,0,0,0,0,0,0,0,0

вечный,покой,adj,noun,2,0,0,0,0,0,0,0,0,0,0

в,за,prep,prep,1,0,0,0,0,0,0,0,0,0,0

в,он,prep,pron,1,0,0,0,0,0,0,0,0,0,0

в,за,prep,prep,1,0,0,0,0,0,0,0,0,0,0

словом,бой,adv,noun,1,0,0,0,0,0,0,0,0,0,0

в,а,prep,conj,1,0,0,0,0,0,0,0,0,0,0

молчать,NA,verb,NA,9,0,0,0,0,0,0,0,0,0,0

в,водить,prep,verb,1,0,0,0,0,0,0,0,0,0,0

давать,именно,verb,adv,1,0,0,0,0,0,0,0,0,0,0

марка,NA,noun,NA,9,0,0,0,0,0,0,0,0,0,0

в,вместо,prep,adv,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

барабанный,NA,adj,NA,8,0,0,0,0,0,0,0,1,0,0

в,как,prep,adv,1,0,0,0,0,0,0,0,0,0,0

в,на,prep,prep,1,0,0,0,0,0,0,0,0,0,0

последний,NA,adj,NA,1,0,0,0,0,0,0,0,0,0,0

в,с,prep,prep,1,0,0,0,0,0,0,0,0,0,0

в,дракон,prep,noun,1,0,0,0,0,0,0,0,0,0,0

рукопашный происходит,NA,adj,verb,2,0,0,0,0,0,0,0,0,0,0

в,чей-то,prep,adj,1,0,0,0,0,0,0,0,0,0,0

в,в,prep,prep,1,0,0,0,0,0,0,0,0,0,0

правила,не,noun,neg,2,0,0,0,0,0,0,0,0,0,0

принимать,NA,verb,NA,2,0,0,0,0,0,0,0,0,0,0

негритенок,с,noun,prep,9,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

в,просто,prep,adv,2,0,0,0,0,0,0,0,0,0,0

в,но,prep,conj,1,0,0,0,0,0,0,0,0,0,0

выдержать,на,verb,prep,2,0,0,0,0,0,0,0,0,0,0

морской,чуть,adj,adv,1,1,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

лаки,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,0

